ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-05-22,3.7099294740897295,3.5362001304994415,3.88161807793486,3.7099294740897295,3.7099294740897295,0.0030726115188039298,0.0030726115188039298,0.0030726115188039298,0.0030726115188039298,0.0030726115188039298,0.0030726115188039298,0.0,0.0,0.0,3.7130020856085335
2023-05-29,3.7179031427369598,3.5554629329715683,3.905260771483766,3.7179031427369598,3.7179031427369598,0.009988473731444122,0.009988473731444122,0.009988473731444122,0.009988473731444122,0.009988473731444122,0.009988473731444122,0.0,0.0,0.0,3.727891616468404
2023-06-05,3.725263775563295,3.565430980548261,3.9017808307660413,3.725263775563295,3.725263775563295,0.00903180018868677,0.00903180018868677,0.00903180018868677,0.00903180018868677,0.00903180018868677,0.00903180018868677,0.0,0.0,0.0,3.7342955757519816
2023-06-12,3.73262440838963,3.560187154385798,3.8863122487361754,3.73262440838963,3.73262440838963,-0.013095944351553618,-0.013095944351553618,-0.013095944351553618,-0.013095944351553618,-0.013095944351553618,-0.013095944351553618,0.0,0.0,0.0,3.7195284640380764
2023-06-19,3.7399850412159648,3.511789707874217,3.8787180666749954,3.7399850412159648,3.7399850412159648,-0.04470493935939086,-0.04470493935939086,-0.04470493935939086,-0.04470493935939086,-0.04470493935939086,-0.04470493935939086,0.0,0.0,0.0,3.6952801018565737
2023-06-26,3.7473456740423,3.5061815987185434,3.862198999360931,3.7473456740423,3.7473456740423,-0.05453632913823995,-0.05453632913823995,-0.05453632913823995,-0.05453632913823995,-0.05453632913823995,-0.05453632913823995,0.0,0.0,0.0,3.69280934490406
2023-07-03,3.7531640889581874,3.534874063074463,3.909459335471819,3.7531640889581874,3.7531640889581874,-0.02186826054753191,-0.02186826054753191,-0.02186826054753191,-0.02186826054753191,-0.02186826054753191,-0.02186826054753191,0.0,0.0,0.0,3.7312958284106554
2023-07-10,3.7589825038740745,3.6138106701924344,3.973837739435858,3.7589825038740745,3.7589825038740745,0.041402192280833215,0.041402192280833215,0.041402192280833215,0.041402192280833215,0.041402192280833215,0.041402192280833215,0.0,0.0,0.0,3.8003846961549077
2023-07-17,3.7648009187899616,3.6782413181171134,4.055072679991631,3.7648009187899616,3.7648009187899616,0.10163678468289983,0.10163678468289983,0.10163678468289983,0.10163678468289983,0.10163678468289983,0.10163678468289983,0.0,0.0,0.0,3.8664377034728616
2023-07-24,3.7706193337058487,3.7306702099506683,4.075345679210763,3.7706193337058487,3.7706193337058487,0.1355582866244569,0.1355582866244569,0.1355582866244569,0.1355582866244569,0.1355582866244569,0.1355582866244569,0.0,0.0,0.0,3.906177620330306
2023-07-31,3.7745787516068106,3.735343507069335,4.101586334512195,3.7745787516068106,3.7745787516068106,0.14868213221075635,0.14868213221075635,0.14868213221075635,0.14868213221075635,0.14868213221075635,0.14868213221075635,0.0,0.0,0.0,3.923260883817567
2023-08-07,3.7785381695077724,3.7593484763406035,4.118698443106389,3.7785381695077724,3.7785381695077724,0.1619505766435802,0.1619505766435802,0.1619505766435802,0.1619505766435802,0.1619505766435802,0.1619505766435802,0.0,0.0,0.0,3.9404887461513525
2023-08-14,3.7824975874087343,3.7959739371959103,4.150495934648101,3.7824975874087343,3.7824975874087343,0.18470295301934822,0.18470295301934822,0.18470295301934822,0.18470295301934822,0.18470295301934822,0.18470295301934822,0.0,0.0,0.0,3.9672005404280823
2023-08-21,3.786457005309696,3.811516510314599,4.17043093633168,3.786457005309696,3.786457005309696,0.20552981944336945,0.20552981944336945,0.20552981944336945,0.20552981944336945,0.20552981944336945,0.20552981944336945,0.0,0.0,0.0,3.9919868247530657
2023-08-28,3.790416423210658,3.8329119533132294,4.1745271563047455,3.790416423210658,3.790416423210658,0.20910287250974768,0.20910287250974768,0.20910287250974768,0.20910287250974768,0.20910287250974768,0.20910287250974768,0.0,0.0,0.0,3.9995192957204058
2023-09-04,3.7929071097683362,3.8164640553537565,4.187641895027386,3.7929071097683362,3.7929071097683362,0.19629260291663542,0.19629260291663542,0.19629260291663542,0.19629260291663542,0.19629260291663542,0.19629260291663542,0.0,0.0,0.0,3.9891997126849716
2023-09-11,3.7953977963260144,3.7900003107949987,4.152390575257287,3.7953977963260144,3.7953977963260144,0.18313901658654522,0.18313901658654522,0.18313901658654522,0.18313901658654522,0.18313901658654522,0.18313901658654522,0.0,0.0,0.0,3.9785368129125596
2023-09-18,3.797888482883693,3.7990682468957115,4.15223402887979,3.797888482883693,3.797888482883693,0.1815001387035363,0.1815001387035363,0.1815001387035363,0.1815001387035363,0.1815001387035363,0.1815001387035363,0.0,0.0,0.0,3.9793886215872294
2023-09-25,3.800379169441371,3.8183699999634837,4.160197125681022,3.800379169441371,3.800379169441371,0.18610512891319497,0.18610512891319497,0.18610512891319497,0.18610512891319497,0.18610512891319497,0.18610512891319497,0.0,0.0,0.0,3.986484298354566
2023-10-02,3.8019161694318853,3.7981217948133086,4.160069165770566,3.8019161694318853,3.8019161694318853,0.18340404563049995,0.18340404563049995,0.18340404563049995,0.18340404563049995,0.18340404563049995,0.18340404563049995,0.0,0.0,0.0,3.9853202150623854
2023-10-09,3.8034531694223994,3.8029912542346627,4.144703051871768,3.8034531694223994,3.8034531694223994,0.17010163266851877,0.17010163266851877,0.17010163266851877,0.17010163266851877,0.17010163266851877,0.17010163266851877,0.0,0.0,0.0,3.973554802090918
2023-10-16,3.804990169412913,3.777145100817153,4.149393632284369,3.804990169412913,3.804990169412913,0.15781998586986692,0.15781998586986692,0.15781998586986692,0.15781998586986692,0.15781998586986692,0.15781998586986692,0.0,0.0,0.0,3.96281015528278
2023-10-23,3.8065271694034277,3.780291595630604,4.134018974910678,3.8065271694034277,3.8065271694034277,0.15810156152771745,0.15810156152771745,0.15810156152771745,0.15810156152771745,0.15810156152771745,0.15810156152771745,0.0,0.0,0.0,3.964628730931145
2023-10-30,3.8077933538715536,3.7888053375282267,4.160062909761943,3.8077933538715536,3.8077933538715536,0.16627662446102726,0.16627662446102726,0.16627662446102726,0.16627662446102726,0.16627662446102726,0.16627662446102726,0.0,0.0,0.0,3.974069978332581
2023-11-06,3.8090595383396795,3.7997090839320684,4.158403392746957,3.8090595383396795,3.8090595383396795,0.16409622991379244,0.16409622991379244,0.16409622991379244,0.16409622991379244,0.16409622991379244,0.16409622991379244,0.0,0.0,0.0,3.9731557682534717
2023-11-13,3.810325722807806,3.774627132115462,4.1274561270004115,3.810325722807806,3.810325722807806,0.1387011024330141,0.1387011024330141,0.1387011024330141,0.1387011024330141,0.1387011024330141,0.1387011024330141,0.0,0.0,0.0,3.94902682524082
2023-11-20,3.8115919072759317,3.7296734988217946,4.086322514419858,3.8115919072759317,3.8115919072759317,0.09666175300352653,0.09666175300352653,0.09666175300352653,0.09666175300352653,0.09666175300352653,0.09666175300352653,0.0,0.0,0.0,3.908253660279458
2023-11-27,3.812858079716416,3.676647641012681,4.057582165912228,3.812858079716416,3.812858079716416,0.057945497946252096,0.057945497946252096,0.057945497946252096,0.057945497946252096,0.057945497946252096,0.057945497946252096,0.0,0.0,0.0,3.870803577662668
2023-12-04,3.8141242521569,3.681402042880121,4.026542274340911,3.8141242521569,3.8141242521569,0.03703556127856775,0.03703556127856775,0.03703556127856775,0.03703556127856775,0.03703556127856775,0.03703556127856775,0.0,0.0,0.0,3.8511598134354674
2023-12-11,3.815390424597384,3.672577928641301,4.026669539348872,3.815390424597384,3.815390424597384,0.03091925974395426,0.03091925974395426,0.03091925974395426,0.03091925974395426,0.03091925974395426,0.03091925974395426,0.0,0.0,0.0,3.8463096843413385
